document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
Necessity and sufficiency,,sufficient conditions express a requirement for some occurrence or state of affairs,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin Badgers men's basketball,,when is the last time wisconsin missed the ncaa tournament,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of countries by oil production,,where can oil be found in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of family members and friends in ER,,who played peter benton's sister on er,NONE,,,,,,,,,,,,,,,,,,,,,,,
IEEE 802.1X,,which of the following is used by 802.1x for network access control,NONE,,,,,,,,,,,,,,,,,,,,,,,
Back in Black,,who sang on the back in black album,NONE,3565-3567,3579-3581,3589-3591,,,,,,,,,,,,,,,,,,,,
Four Weddings and a Funeral,,who played gareth in four weddings and a funeral,NONE,1527-1529,,,,,,,,,,,,,,,,,,,,,,
Grace and Frankie,,who is the actor that plays saul on grace and frankie,NONE,872-874,,,,,,,,,,,,,,,,,,,,,,
Lonely Boy (Andrew Gold song),,who sang the song oh what a lonely boy,NONE,261-263,,,,,,,,,,,,,,,,,,,,,,
2017 NCAA Division I Men's Basketball Tournament,,who won the 2017 ncaa mens basketball tournament,NONE,348-350,,,,,,,,,,,,,,,,,,,,,,
Christmas,,when was christmas first celebrated as a holiday,NONE,479-486,,,,,,,,,,,,,,,,,,,,,,
List of The Fresh Prince of Bel-Air episodes,,the fresh prince of bel air season 3 episode 11,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of agriculture,,where did the cultivation of agriculture first arise,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cylinder,,how many plane surfaces does a cylinder have,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Devil Went Down to Georgia,,who is johnny in the devil went down to georgia,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of the Middle East,,when did merchants from the arabian peninsula begin to settle in east africa,NONE,,,,,,,,,,,,,,,,,,,,,,,
"The Championships, Wimbledon",,in which city are the wimbledon game held,NONE,420-423,,,,,,,,,,,,,,,,,,,,,,
Allele,,three or more different alleles may be present for a given gene in a population,NONE,,,,,,,,,,,,,,,,,,,,,,,
Origins and architecture of the Taj Mahal,,the taj mahal served as an example of aesthetic value for this kind of function,NONE,,,,,,,,,,,,,,,,,,,,,,,
Clemson Tigers football,,when was the last time clemson was shut out,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Phantom of the Opera (1986 musical),,who played the first phantom of the opera,NONE,4579-4581,,,,,,,,,,,,,,,,,,,,,,
America's Next Top Model (cycle 24),,who went home on americas next top model,NONE,,,,,,,,,,,,,,,,,,,,,,,
Yellow Ledbetter,,what do the lyrics of yellow ledbetter mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Atlantic hurricane records,,what was the lowest barometric pressure for hurricane irma,NONE,3395-3403,,,,,,,,,,,,,,,,,,,,,,
Cooling tower,,why does cooling water run through the condenser,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chromosome,,when does a cell have condensed visible chromosomes also known as sister chromatids,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bat Masterson (TV series),,who played bat masterson in the tv series,NONE,321-323,,,,,,,,,,,,,,,,,,,,,,
Communist Party of the Soviet Union,,how did the communists establish control in the new union of soviet socialist republics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Michael Jordan,,when did michael jordan get his last ring,NONE,290-291,,,,,,,,,,,,,,,,,,,,,,
War for the Planet of the Apes,,who played caesar in planet of the apes war,NONE,2071-2073,,,,,,,,,,,,,,,,,,,,,,
Curling at the Winter Olympics,,when did men's curling start in the olympics,NONE,235-236,,,,,,,,,,,,,,,,,,,,,,
Corpus luteum,,which hormone is released from the ruptured follicle or corpus luteum,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of 400-yard passing games in the National Football League,,most passing yards by nfl qb in a game,NONE,,,,,,,,,,,,,,,,,,,,,,,
40 under 40 (Fortune magazine),,who was rated number 1 on the 2015 fortune 500's 40 under 40,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,what was hawaii's primary export to the united states,NONE,13342-13343,13344-13346,13347-13348,13349-13350,13351-13352,13353-13354,,,,,,,,,,,,,,,,,
Respiratory disease,,what term is used to describe inflammation of the lung,NONE,,,,,,,,,,,,,,,,,,,,,,,
Safe Haven (film),,what is katie running from in safe haven,NONE,,,,,,,,,,,,,,,,,,,,,,,
White Flag (song),,who sings i will go down with this ship,NONE,275-276,,,,,,,,,,,,,,,,,,,,,,
Hidalgo (surname),,where does the last name hidalgo come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
The 2 Live Crew Is What We Are,,2 live crew is what we are full album,NONE,,,,,,,,,,,,,,,,,,,,,,,
Spruce Grove,,when was spruce grove composite high school built,NONE,,,,,,,,,,,,,,,,,,,,,,,
One Piece at a Time,,jonny cash one piece at a time car,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of World Heavyweight Champions (WWE),,who became the world heavyweight champion in november 2015,NONE,,,,,,,,,,,,,,,,,,,,,,,
Game of Thrones (season 1),,game of thrones season 1 episode by episode synopsis,NONE,,,,,,,,,,,,,,,,,,,,,,,
Independent Anglican Church Canada Synod,,federation of independent anglican churches of north america,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jarmo,,the discoveries made at the village of jarmo,NONE,,,,,,,,,,,,,,,,,,,,,,,
Canadian Pacific Railway,,when was the canadian pacific railway started and finished,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Thinning,,when does the thinning new world order come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Big Mac,,when was the big mac released in the uk,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Fast and the Furious,,when did the fast and furious movies come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Florida International University pedestrian bridge collapse,,who built pedestrian bridge at florida international university,NONE,1008-1011,,,,,,,,,,,,,,,,,,,,,,
Science and technology in India,,article on development of science and technology in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Elektrobank,,who is this doing this synthetic type of alpha beta psychedelic funkin' lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Heart and Soul (T'Pau song),,band who had a hit with heart and soul crossword,NONE,312-316,,,,,,,,,,,,,,,,,,,,,,
Seafloor spreading,,what observation led to the theory of seafloor spreading,NONE,,,,,,,,,,,,,,,,,,,,,,,
Homeland (season 7),,is season 7 of homeland the last season,NO,,,,,,,,,,,,,,,,,,,,,,,
Black cat analogy,,philosophy is like being in a dark room,NONE,,,,,,,,,,,,,,,,,,,,,,,
Prince-elector,,the german princes who chose the holy roman empire were called,NONE,,,,,,,,,,,,,,,,,,,,,,,
Who Stole the Cookie from the Cookie Jar?,,who stole cookies from the cookie jar lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flag of Ireland,,who has a green white and red flag,NONE,,,,,,,,,,,,,,,,,,,,,,,
River Mersey,,what cathedrals stand on the bank of the mersey,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tuck Rule Game,,when did tom brady play in the pro bowl,NONE,,,,,,,,,,,,,,,,,,,,,,,
De La Rosa,,where does the name de la rosa come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of 2018 box office number-one films in the United States,,what is the number one movie in the usa,NONE,96-102,,,,,,,,,,,,,,,,,,,,,,
I Knew the Bride,,who sang i knew the bride when she used to rock and roll,NONE,,,,,,,,,,,,,,,,,,,,,,,
Teenage Mutant Ninja Turtles,,when did the first ninja turtles come out,NONE,652-653,,,,,,,,,,,,,,,,,,,,,,
If the Good Lord's Willing and the Creek Don't Rise,,if the good lord's willing and the creek don't rise lyrics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Latin American integration,,where did latin american fit in the post-world war ii world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pret a Manger,,how much does a pret a manger franchise cost,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dip slope,,different between dip and scarp slope with reference to rock structure,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hat-trick,,where does the phrase hat trick come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Trochaic tetrameter,,trochaic tetrameter is most commonly used in what types of verse and why,NONE,,,,,,,,,,,,,,,,,,,,,,,
Legends and myths regarding RMS Titanic,,what song did the titanic band play when it sank,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wheel,,when was the wheel introduced to north america,NONE,,,,,,,,,,,,,,,,,,,,,,,
50 home run club,,most home runs by 2 teammates in a season,NONE,339-341,342-344,,,,,,,,,,,,,,,,,,,,,
Sneakers (1992 film),,i went out for pizza then i went to canada,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Attack on Titan episodes,,season 2 attack on titan how many episodes,NONE,704-705,,,,,,,,,,,,,,,,,,,,,,
Praise the Lord and Pass the Ammunition,,quote praise the lord and pass the ammunition,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of states and territories of the United States,,how many states in america have new in them,NONE,,,,,,,,,,,,,,,,,,,,,,,
Protagonist,,who is the main character in the book drama,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jesse Williams (actor),,actor who plays dr avery on grey's anatomy,NONE,133-136,,,,,,,,,,,,,,,,,,,,,,
Buffy the Vampire Slayer (film),,who played buffy the vampire slayer in the movie,NONE,1291-1293,,,,,,,,,,,,,,,,,,,,,,
List of alcohol laws of the United States,,can you buy liquor on sunday in va,YES,,,,,,,,,,,,,,,,,,,,,,,
The Great British Bake Off,,who won season 2 of great british baking show,NONE,2649-2651,,,,,,,,,,,,,,,,,,,,,,
Lyle and Erik Menendez,,how long did the menendez brothers get in prison for killing their parents,NONE,732-739,,,,,,,,,,,,,,,,,,,,,,
Julie Kavner,,who does marge's voice on the simpsons,NONE,96-99,,,,,,,,,,,,,,,,,,,,,,
URL,,what is the general structure of an url,NONE,,,,,,,,,,,,,,,,,,,,,,,
Body of Proof (season 2),,body of proof series 2 episode 9 cast,NONE,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Colts relocation to Indianapolis,,who owned the colts when they left baltimore,NONE,41-43,,,,,,,,,,,,,,,,,,,,,,
The Phantom of the Opera (1986 musical),,who wrote the phantom of the opera music,NONE,400-403,,,,,,,,,,,,,,,,,,,,,,
Harry Potter (film series),,when did the first movie of harry potter come out,NONE,416-417,,,,,,,,,,,,,,,,,,,,,,
Famine,,what is meant by a bread line and direct relief,NONE,,,,,,,,,,,,,,,,,,,,,,,
Raindrops Keep Fallin' on My Head,,burt bacharach raindrops keep falling on my head,NONE,,,,,,,,,,,,,,,,,,,,,,,
Federal Communications Commission,,the federal communications commission​ (fcc) controls and​ regulates,NONE,,,,,,,,,,,,,,,,,,,,,,,
Altera Quartus,,introduction to the intel qsys system integration tool,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of Native Americans in the United States,,until at least the late 19th century what was the dominant religion in american life,NONE,,,,,,,,,,,,,,,,,,,,,,,
European colonization of the Americas,,early contact with the new world and colonization of north america,NONE,,,,,,,,,,,,,,,,,,,,,,,
Vascular cambium,,where do secondary xylem and phloem cells arise from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Great Oxygenation Event,,when did earth's atmosphere change due to living organisms,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of cities in Ontario,,map of ontario with all cities and towns,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Christmas Story,,who played the dad in a christmas story,NONE,1283-1285,,,,,,,,,,,,,,,,,,,,,,
List of U.S. states by date of admission to the Union,,when were each state admitted to the union,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Fullmetal Alchemist: Brotherhood episodes,,fullmetal alchemist brotherhood season 1 episode 1 dubbed,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of books of the King James Version,,list of books in the 1611 king james bible,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sonic Drive-In,,where was the first sonic drive in located,NONE,,,,,,,,,,,,,,,,,,,,,,,
Romanticism,,what types of writing did the romantics create,NONE,,,,,,,,,,,,,,,,,,,,,,,
Brenda Walsh (character),,when do dylan and brenda get back together,NONE,,,,,,,,,,,,,,,,,,,,,,,
How to Train Your Dragon 2,,who voices hiccup in how to train your dragon 2,NONE,1716-1718,,,,,,,,,,,,,,,,,,,,,,
Battle of Britain Memorial Flight,,where is the battle of britain flight based,NONE,,,,,,,,,,,,,,,,,,,,,,,
Developed country,,top 20 highly developed countries in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Business model,,with respect to the components of a business model,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Can Only Imagine (film),,when is i can only imagine coming out,NONE,436-440,,,,,,,,,,,,,,,,,,,,,,
Jamaica at the Olympics,,what sports does jamaica play in the olympics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Rock You Like a Hurricane,,who sings the song rock you like a hurricane,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Xbox 360 games compatible with Xbox One,,can you play xbox one games on a xbox 360,NONE,,,,,,,,,,,,,,,,,,,,,,,
Kansas Jayhawks men's basketball,,who has the most conference championships in college basketball,NONE,1004-1005,,,,,,,,,,,,,,,,,,,,,,
List of tallest buildings,,which is the tallest building in the world 2018,NONE,928-930,,,,,,,,,,,,,,,,,,,,,,
Vapour pressure of water,,vapor pressure of water at 100c in torr,NONE,,,,,,,,,,,,,,,,,,,,,,,
Tonight You Belong to Me,,steve martin the jerk tonight you belong to me,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Archers,,an story of country folk slogan used to describe the archers,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of the New York Giants (baseball),,where did the new york giants baseball play,NONE,215-228,,,,,,,,,,,,,,,,,,,,,,
Ecliptic,,the plane of earth's orbit is called the,NONE,63-64,,,,,,,,,,,,,,,,,,,,,,
The Writing's on the Wall,,destiny's child writing on the wall song list,NONE,,,,,,,,,,,,,,,,,,,,,,,
Strictly Come Dancing,,when is the strictly come dancing results show recorded,NONE,6292-6301,,,,,,,,,,,,,,,,,,,,,,
Brother (Needtobreathe song),,who sang the song brother let me be your shelter,NONE,,,,,,,,,,,,,,,,,,,,,,,
"2,2-Dimethylbutane",,structural formula and iupac name of neohexane acid,NONE,,,,,,,,,,,,,,,,,,,,,,,
Wealth inequality in the United States,,what percent of the us population controls the wealth,NONE,,,,,,,,,,,,,,,,,,,,,,,
A Horse with No Name,,been through the desert on a horse with no name neil young,NONE,,,,,,,,,,,,,,,,,,,,,,,
Darling in the Franxx,,darling in the franxx what are the parasites,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of languages by number of native speakers in India,,what languages are spoken in india the most,NONE,,,,,,,,,,,,,,,,,,,,,,,
Surface tension,,effect of addition of various solutes on surface tension and viscosity,NONE,,,,,,,,,,,,,,,,,,,,,,,
Iron ore mining in Western Australia,,where does iron ore come from in australia,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ex on the Beach,,how long is ex on the beach on for,NONE,,,,,,,,,,,,,,,,,,,,,,,
Muharram,,why is muharram the first month of the islamic calendar,NONE,,,,,,,,,,,,,,,,,,,,,,,
I Can Only Imagine (MercyMe song),,when was i can only imagine the song released,NONE,,,,,,,,,,,,,,,,,,,,,,,
Columbian Exchange,,who participated in the columbian exchange and how did it impact them,NONE,,,,,,,,,,,,,,,,,,,,,,,
Guardians of the Galaxy Vol. 2,,when did gaurdians of the galaxy 2 come out,NONE,273-277,,,,,,,,,,,,,,,,,,,,,,
Wedding soup,,what type of pasta goes in italian wedding soup,NONE,,,,,,,,,,,,,,,,,,,,,,,
Glorious Revolution,,how did english government change during the glorious revolution,NONE,,,,,,,,,,,,,,,,,,,,,,,
Central Heating (Heatwave album),,who wrote star of the story by heatwave,NONE,,,,,,,,,,,,,,,,,,,,,,,
Good to Be Me,,uncle kracker it's good to be me,NONE,,,,,,,,,,,,,,,,,,,,,,,
United Methodist Church of the Resurrection,,wesley chapel church of the resurrection leawood ks,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hart of Dixie (Season 4),,hart of dixie season 4 how many episodes,NONE,62-63,,,,,,,,,,,,,,,,,,,,,,
Supernatural (season 13),,is supernatural going to have a season 13,YES,,,,,,,,,,,,,,,,,,,,,,,
Prometheus,,who is credited with describing the proper form for greek tragedy,NONE,,,,,,,,,,,,,,,,,,,,,,,
Old Flames Can't Hold a Candle to You,,who wrote old flames cant hold a candle to you,NONE,285-290,,,,,,,,,,,,,,,,,,,,,,
Richie Rich (2015 TV series),,who plays the robot maid in richie rich,NONE,598-600,,,,,,,,,,,,,,,,,,,,,,
Geraldine Somerville,,who plays harry's mom in harry potter,NONE,,,,,,,,,,,,,,,,,,,,,,,
Histogram equalization,,equalization can be applied to a digital image to improve which of the following,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Girl, You'll Be a Woman Soon",,who sang you'll be a woman soon in pulp fiction,NONE,328-330,,,,,,,,,,,,,,,,,,,,,,
Roadrunner,,where does a roadrunner live in the desert,NONE,,,,,,,,,,,,,,,,,,,,,,,
Constituent Assembly of India,,who was the first president of the constituent assembly,NONE,1731-1734,,,,,,,,,,,,,,,,,,,,,,
Sweet Freedom (Michael McDonald song),,shine sweet freedom shine the light on me,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ruth's Chris Steak House,,where did ruth's chris name come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Warlord Era,,how did the warlord era contribute to the start of the chinese civil war,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Scorpion episodes,,when does the new episode of scorpion come on,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Super Bowl champions,,has anyone ever won the super bowl two years in a row,YES,,,,,,,,,,,,,,,,,,,,,,,
The Fast and the Furious,,when did first fast and furious come out,NONE,129-130,,,,,,,,,,,,,,,,,,,,,,
Data analysis,,several types of analysis are common to marketing research,NONE,,,,,,,,,,,,,,,,,,,,,,,
Mantle plume,,how does the mantle plume model explain the existence of hot spots,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Blacklist (season 5),,when does season 5 of the blacklist resume,NONE,1791-1795,,,,,,,,,,,,,,,,,,,,,,
Ultra high-net-worth individual,,who has a net worth of 500 million,NONE,,,,,,,,,,,,,,,,,,,,,,,
Emma Pillsbury,,when do mr schuester and emma get together,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of iZombie episodes,,when does the next episode of izombie air,NONE,11974-11978,,,,,,,,,,,,,,,,,,,,,,
History of West Africa,,what is the correct chronological order of west african kingdoms,NONE,,,,,,,,,,,,,,,,,,,,,,,
Phone connector (audio),,what do the lines on headphone jacks mean,NONE,,,,,,,,,,,,,,,,,,,,,,,
USS Maine (ACR-1),,where was the u.s.s maine when it exploded in 1898,NONE,767-769,,,,,,,,,,,,,,,,,,,,,,
Anant Chaturdashi,,in the honour of which god is anant chaturdashi celebrated,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of countries bordering on two or more oceans,,which central american nations border the pacific ocean and the caribbean sea,NONE,,,,,,,,,,,,,,,,,,,,,,,
